ADM0_PCODE,ADM0_EN,ADM1_PCODE,ADM1_EN,ADM2_PCODE,ADM2_EN,ADM3_PCODE,ADM3_EN,ADM4_PCODE,ADM4_EN,T_TL_2009,T_TL_2010,T_TL_2011,T_TL_2012,T_TL_2013,T_TL_2014,T_TL_2015,T_TL_2016,T_TL_2017,T_TL
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001001,Antanimalalaka Analakely,1058,1087,1117,1148,1179,1211,1244,1277,1312,1347
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001002,Ambalavao Isotry,5055,5195,5337,5484,5633,5786,5942,6102,6267,6436
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001003,Ambatonakanga Ambohitsorohitra,1689,1736,1783,1832,1882,1933,1985,2039,2094,2151
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001004,Ambatovinaky,2988,3070,3155,3241,3330,3420,3512,3607,3704,3804
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001005,Soarano Ambondrona Ambodifilao,6690,6875,7064,7257,7455,7657,7864,8076,8294,8518
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001006,Ampandrana Ankadivato,5647,5803,5962,6126,6293,6463,6638,6817,7001,7190
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001007,Amparibe Ambohidahy Mahamasina,3342,3434,3529,3625,3724,3825,3928,4034,4143,4255
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001008,Amboasarikely Ambatomena,2322,2386,2452,2519,2587,2658,2729,2803,2879,2956
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001009,Anatihazo Isotry,7855,8072,8294,8521,8753,8990,9233,9482,9738,10001
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001010,Andavamamba Anatihazo I,6035,6202,6372,6547,6725,6907,7094,7285,7482,7684
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001011,Andavamamba Anatihazo II,9795,10065,10342,10626,10915,11211,11514,11824,12144,12472
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001012,Andavamamba Anjezika I,9282,9538,9801,10069,10343,10624,10911,11205,11508,11818
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001013,Andavamamba Anjezika II,5594,5748,5907,6068,6234,6403,6575,6753,6935,7123
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001014,Andohatapenaka I,11724,12048,12379,12718,13064,13419,13781,14153,14535,14928
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001015,Andohatapenaka II,14393,14790,15197,15614,16039,16474,16918,17375,17844,18326
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001016,Andohatapenaka IIi,6528,6708,6893,7082,7274,7472,7673,7881,8093,8312
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001017,Andranomanalina Afovoany,5997,6163,6332,6506,6683,6864,7049,7240,7435,7636
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001018,Andranomanalina I,2741,2817,2894,2973,3054,3137,3222,3309,3398,3490
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001019,Andranomanalina Isotry,4823,4956,5092,5232,5374,5520,5669,5822,5979,6141
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001020,Ankasina,8938,9185,9437,9696,9960,10230,10506,10790,11081,11380
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001021,Antetezanafovoany I,6749,6935,7126,7321,7521,7725,7933,8147,8367,8593
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001022,Antetezanafovoany II,1485,1526,1568,1611,1655,1700,1746,1793,1841,1891
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001023,Antohomadinika Afovoany,2667,2741,2816,2893,2972,3053,3135,3220,3306,3396
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001024,Antohomadinika Atsimo,6532,6712,6897,7086,7279,7476,7678,7885,8098,8317
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001025,Antohomadinika Avaratra Antani,2570,2641,2714,2788,2864,2941,3021,3102,3186,3272
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001026,Antohomadinika Antsalovana Faa,6931,7122,7318,7519,7723,7933,8147,8367,8593,8825
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001027,Antohomadinika IIig Hangar,10800,11098,11403,11716,12035,12361,12695,13038,13390,13751
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001028,Avaratetezana Bekiraro,1200,1233,1267,1302,1337,1373,1411,1449,1488,1528
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001029,Cite Ambodin'isotry,8713,8953,9200,9452,9709,9972,10242,10518,10802,11094
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001030,Cite Ampefiloha,7706,7919,8137,8360,8587,8820,9058,9303,9554,9812
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001031,67ha Afovoany Andrefana,5023,5162,5304,5449,5597,5749,5904,6064,6227,6396
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001032,67ha Atsimo,8982,9230,9484,9744,10009,10280,10558,10843,11136,11436
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001033,67ha Avaratra Andrefana,8125,8349,8579,8814,9054,9299,9551,9808,10073,10345
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001034,67ha Avaratra Atsinanana,10232,10514,10804,11100,11402,11711,12027,12352,12685,13028
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001035,Lalamby Sy Ny Manodidina,1963,2017,2073,2129,2187,2247,2307,2370,2434,2499
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001036,Faravohitra Ambony,2350,2415,2481,2549,2619,2690,2762,2837,2913,2992
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001037,Faravohitra Mandrosoa,3715,3818,3923,4030,4140,4252,4367,4485,4606,4730
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001038,Isoraka Ampatsakana,3461,3557,3654,3755,3857,3961,4068,4178,4291,4407
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001039,Fiata,6194,6365,6540,6719,6902,7089,7281,7477,7679,7887
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001040,Manarintsoa Afovoany,3098,3184,3271,3361,3452,3546,3642,3740,3841,3945
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001041,Manarintsoa Anatihazo,2000,2055,2112,2170,2229,2289,2351,2414,2480,2547
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001042,Manarintsoa Atsinanana,6200,6371,6546,6726,6909,7096,7288,7485,7687,7894
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001043,Manarintsoa Isotry,1310,1346,1383,1421,1460,1499,1540,1581,1624,1668
MG,Madagascar,MG11,Analamanga,MG11101001A,1er Arrondissement,MG11101001,1er Arrondissement,MG11101001044,Soarano Ambondrona Tsiazotafo,3248,3338,3429,3523,3619,3717,3818,3921,4027,4136
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002001,Faliarivo Ambanidia,13149,13512,13884,14264,14652,15050,15456,15873,16302,16742
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002002,Antanimora Ampasanimalo,7042,7236,7435,7639,7847,8060,8278,8501,8731,8966
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002003,Antsahabe Ankorahotra Ankazoto,3491,3587,3686,3787,3890,3996,4104,4214,4328,4445
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002004,Ambohitsiroa Vn,1524,1566,1609,1653,1698,1744,1791,1840,1889,1940
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002005,Ankazotokana Ambony,1383,1421,1460,1500,1541,1583,1626,1670,1715,1761
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002006,Tsiadana,12136,12471,12814,13165,13524,13890,14265,14650,15046,15452
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002007,Volosarika Ambanidia,3152,3239,3328,3419,3512,3608,3705,3805,3908,4013
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002008,Andafiavaratra Ambavahadimitaf,4201,4317,4436,4557,4681,4808,4938,5071,5208,5349
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002009,Manjakamiadana Antsahondra AMB,5946,6110,6278,6450,6626,6805,6989,7178,7372,7571
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002010,Ambatoroka,7085,7281,7481,7686,7895,8109,8328,8553,8784,9021
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002011,Miandrarivo Ambanidia,10819,11118,11423,11737,12056,12383,12717,13061,13413,13775
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002012,Ambolokandrina 5a,24051,24715,25395,26091,26801,27528,28271,29034,29818,30623
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002013,Andohan'i Mandroseza Ambohibat,6600,6782,6969,7160,7355,7554,7758,7967,8183,8403
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002014,Ambohipo Tanana Ampahateza And,18382,18889,19409,19941,20484,21039,21607,22191,22790,23405
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002015,Ambohipotsy Ambohimitsimbina A,2244,2306,2369,2434,2501,2568,2638,2709,2782,2857
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002016,Andohamandry,7861,8078,8300,8528,8760,8997,9240,9490,9746,10009
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002017,Manakambahiny Ankerakely Ambat,6293,6467,6645,6827,7013,7203,7397,7597,7802,8013
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002018,Ambohimiandra Fenomanana Antsa,4154,4269,4386,4506,4629,4754,4883,5015,5150,5289
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002019,Mandroseza Afovoany Mandroseza,4732,4863,4996,5133,5273,5416,5562,5712,5867,6025
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002020,Mahazoarivo Ambohidraserika,6233,6405,6581,6762,6946,7134,7327,7524,7728,7936
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002021,Morarano Andrangaranga Ambatol,7324,7526,7733,7945,8161,8383,8609,8841,9080,9325
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002022,Ambohitsoa Ankazolava Antanamb,11445,11761,12084,12416,12754,13099,13453,13816,14189,14572
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002023,Androndrabe Ampamantanana Ambo,7798,8013,8234,8459,8690,8925,9166,9414,9668,9929
MG,Madagascar,MG11,Analamanga,MG11101002A,2e Arrondissement,MG11101002,2e Arrondissement,MG11101002024,Androndrakely Saropody Antonta,10707,11003,11305,11615,11931,12255,12586,12925,13274,13633
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003001,Antaninandro Ampandrana,3701,3803,3908,4015,4124,4236,4350,4468,4588,4712
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003002,Ankorondrano Andranomahery,4227,4344,4463,4585,4710,4838,4969,5103,5241,5382
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003003,Ankorondrano Atsinanana,5073,5213,5356,5503,5653,5806,5963,6124,6289,6459
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003004,Ankorondrano Andrefana,3913,4021,4132,4245,4360,4479,4600,4724,4851,4982
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003005,Ankazomanga Andraharo,3060,3144,3231,3320,3410,3502,3597,3694,3794,3896
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003006,Ambodivona Ankadifotsy,2131,2190,2250,2312,2375,2439,2505,2573,2642,2713
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003007,Tsaramasay,4815,4948,5084,5223,5366,5511,5660,5813,5970,6131
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003008,Ankadifotsy Befelatanana,5197,5340,5487,5638,5791,5948,6109,6274,6443,6617
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003009,Ambohibary Antanimena,3668,3769,3873,3979,4087,4198,4312,4428,4548,4670
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003010,Andravoahangy Tsena,2789,2866,2945,3026,3108,3192,3278,3367,3458,3551
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003011,Mandialaza Ambodivona,2996,3079,3163,3250,3339,3429,3522,3617,3714,3815
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003012,Soavinandriana,2986,3068,3153,3239,3327,3418,3510,3605,3702,3802
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003013,Mandialaza Ankadifotsy,4269,4387,4507,4631,4757,4886,5018,5153,5293,5436
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003014,Antanimena,1538,1580,1624,1668,1714,1760,1808,1857,1907,1958
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003015,Ankadifotsy Antanifotsy,4995,5133,5274,5419,5566,5717,5871,6030,6193,6360
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003016,Ankaditapaka Avaratra,2005,2060,2117,2175,2234,2295,2357,2420,2486,2553
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003017,Mandialaza Ambatomitsangana,3284,3375,3467,3563,3659,3759,3860,3964,4071,4181
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003018,Andravoahangy Andrefana,2462,2530,2600,2671,2744,2818,2894,2972,3052,3135
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003019,Mahavoky,5581,5735,5893,6054,6219,6388,6560,6737,6919,7106
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003020,Andravoahangy Atsinanana,5849,6010,6176,6345,6518,6694,6875,7061,7251,7447
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003021,Behoririka Ambatomitsangana,3307,3398,3492,3587,3685,3785,3887,3992,4100,4211
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003022,Avaradoha,4830,4963,5100,5240,5382,5528,5677,5831,5988,6150
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003023,Ambatomitsangana,3248,3338,3429,3523,3619,3717,3818,3921,4027,4136
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003024,Behoririka Ankaditapaka,2942,3023,3106,3192,3278,3367,3458,3552,3647,3746
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003025,Betongolo,5990,6155,6325,6498,6675,6856,7041,7231,7426,7627
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003026,Ampandrana Besarety,4150,4265,4382,4502,4625,4750,4878,5010,5145,5284
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003027,Besarety,4786,4918,5053,5192,5333,5478,5626,5778,5934,6094
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003028,Behoririka,2428,2495,2564,2634,2706,2779,2854,2931,3010,3091
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003029,Ampandrana Andrefana,2638,2711,2785,2862,2940,3019,3101,3185,3271,3359
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003030,Ambohitrakely,8212,8439,8671,8908,9151,9399,9653,9913,10181,10456
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003031,Ampandrana Atsinanana,4293,4411,4533,4657,4784,4914,5046,5182,5322,5466
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003032,Ankadivato IIl,1325,1362,1399,1437,1476,1517,1557,1600,1643,1687
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003033,Ampahibe,6175,6345,6520,6699,6881,7068,7258,7454,7656,7862
MG,Madagascar,MG11,Analamanga,MG11101003A,3e Arrondissement,MG11101003,3e Arrondissement,MG11101003034,Antsakaviro Ambodirotra,2340,2405,2471,2538,2608,2678,2751,2825,2901,2979
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004001,Andrefan'ambohijanahary IIIG-I,5115,5256,5401,5549,5700,5854,6012,6175,6341,6513
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004002,Ambodirano Ampefiloha,10452,10740,11036,11338,11647,11963,12286,12618,12958,13308
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004003,Ilanivato Ampasika,5384,5533,5685,5841,6000,6162,6329,6499,6675,6855
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004004,Ampangabe Anjanakinifolo,12390,12732,13082,13441,13807,14181,14564,14957,15361,15776
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004005,Anosipatrana Andrefana,5784,5944,6107,6275,6445,6620,6799,6982,7171,7364
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004006,Anosipatrana Atsinanana,8370,8601,8838,9080,9327,9580,9839,10104,10377,10657
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004007,Ivolaniray,7169,7367,7570,7777,7989,8205,8427,8654,8888,9128
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004008,Andavamamba Ambilanibe,9132,9384,9642,9906,10176,10452,10734,11024,11322,11627
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004009,Anosibe Andrefana II,12523,12869,13223,13585,13955,14333,14720,15118,15526,15945
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004010,Anosibe Andrefana I,12461,12805,13157,13518,13886,14262,14647,15043,15449,15866
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004011,Andrefan'ambohijanahary IIIH-I,3809,3914,4022,4132,4245,4360,4477,4598,4722,4850
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004012,Mahamasina Atsimo,7254,7454,7659,7869,8083,8303,8527,8757,8993,9236
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004013,Tsimialonjafy,2683,2757,2833,2911,2990,3071,3154,3239,3326,3416
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004014,Ambanin'ampamarinana,4652,4780,4912,5047,5184,5324,5468,5616,5767,5923
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004015,Ankadilalana,5053,5192,5335,5482,5631,5783,5940,6100,6265,6434
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004016,Tsarafaritra,5506,5658,5814,5973,6136,6302,6472,6647,6826,7011
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004017,Fiadanana IIil,3650,3751,3854,3960,4067,4178,4290,4406,4525,4647
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004018,Fiadanana IIin,3769,3873,3980,4089,4200,4314,4430,4550,4673,4799
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004019,Mananjara,5744,5903,6065,6231,6401,6574,6752,6934,7121,7314
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004020,Andrefan'i Mananjara,8503,8738,8978,9224,9475,9732,9995,10265,10542,10826
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004021,Anosibe Ambohibarikely,6739,6925,7115,7311,7510,7713,7921,8135,8355,8580
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004022,Mandrangobato I,9510,9772,10041,10317,10597,10885,11179,11480,11790,12109
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004023,Mandrangobato II,10150,10430,10717,11011,11311,11617,11931,12253,12584,12924
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004024,Anosizato Atsinanana II,10145,10425,10712,11005,11305,11611,11925,12247,12578,12917
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004025,Anosizato Atsinanana I,11732,12056,12387,12727,13073,13428,13790,14163,14545,14938
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004026,Angarangarana,10602,10895,11194,11501,11814,12135,12462,12799,13144,13499
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004027,Madera Namontana,11080,11386,11699,12020,12347,12682,13024,13376,13737,14108
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004028,Soanierana III-I Cite Gare,2975,3057,3141,3227,3315,3405,3497,3591,3688,3788
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004029,Soanierana IIIJ,4289,4407,4529,4653,4779,4909,5042,5178,5317,5461
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004030,Ankaditoho Marohoho,12485,12830,13182,13544,13913,14290,14676,15072,15479,15897
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004031,Andrefan'ankadimbahoaka,9297,9554,9816,10085,10360,10641,10928,11223,11526,11837
MG,Madagascar,MG11,Analamanga,MG11101004A,4e Arrondissement,MG11101004,4e Arrondissement,MG11101004032,Ankazotoho Anosimahavelona,11730,12054,12385,12725,13071,13426,13788,14160,14543,14935
MG,Madagascar,MG11,Analamanga,MG11101005A,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005001,Ambatomainty,14360,14756,15162,15578,16002,16436,16879,17335,17803,18284
MG,Madagascar,MG11,Analamanga,MG11101005A,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005002,Soavimasoandro,23677,24330,25000,25685,26384,27100,27831,28583,29354,30147
MG,Madagascar,MG11,Analamanga,MG11101005A,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005003,Androhibe,8200,8426,8658,8895,9138,9385,9639,9899,10166,10441
MG,Madagascar,MG11,Analamanga,MG11101005A,5e Arrondissement,MG11101005,5e Arrondissement,MG11101005004,Morarano,6469,6648,6830,7018,7209,7404,7604,7809,8020,8237
